Cycle_Number (n),Net_Power (J)
1,4.730981275376351
2,4.619506449654544
3,4.609703141858802
4,4.583876700053228
5,4.537574726538676
6,4.441653407002452
7,4.409519062970517
8,4.397259026802011
9,4.35314975569592
10,4.32669447133064
11,4.283823719028625
12,4.2706193447731025
13,4.299004452555316
14,4.249137092225915
15,4.209034384221983
16,4.188977548553986
17,4.121148617843687
18,4.121604652557515
19,4.123920380636989
20,4.043557342049162
21,4.012772704446824
22,4.0399321201265295
23,4.034447086261931
24,4.023212816343907
25,3.941937258678948
26,3.989017155542186
27,3.9382405703849486
28,3.960212345962507
29,3.9006480458251325
30,3.889271825599341
31,3.8777754363152894
32,3.9307027352734174
33,3.8457033080141407
34,3.8066407670522224
35,3.7975919256757535
36,3.7249080214363453
37,3.7229123860010453
38,3.7842805719178685
39,3.8076416484396383
40,3.782435289106253
41,3.761914952868956
42,3.74730791135082
43,3.675854193883719
44,3.6874946158061483
45,3.7100423147672394
46,3.6844415024236206
47,3.6856842973046504
48,3.643189126335205
49,3.6284782308873176
50,3.707732096600413
51,3.6074397300439713
52,3.657036867593156
53,3.5500442295475665
54,3.9023474383850534
55,3.613837461083598
56,3.591156786377553
57,3.4906666510319084
58,3.595085781618767
59,3.4935950286703203
60,3.5759321322412916
